seed,elevators,stairs,rows,columns,num_floors,stores_per_floor,obstacle_density,algorithm,expanded,path_length,path_cost,ends_at,time
0,5,5,20,20,3,10,0.2,A*,210,52,47.0,"(19, 4, 1)",0.0006439000135287642
0,5,5,20,20,3,10,0.2,MultiGoal-A*,1251,31,27.0,"(19, 4, 1)",0.007514900004025549
0,5,5,20,20,3,10,0.2,D* Lite,5940,52,47.0,"(19, 4, 1)",0.2253268000204116
1,5,5,20,20,3,10,0.2,A*,5378,736,706.0,"(0, 17, 2)",0.01593450002837926
1,5,5,20,20,3,10,0.2,MultiGoal-A*,1234,699,670.0,"(0, 17, 2)",0.007319999975152314
1,5,5,20,20,3,10,0.2,D* Lite,35580,736,706.0,"(0, 17, 2)",1.297057899995707
2,5,5,20,20,3,10,0.2,A*,3894,563,536.0,"(14, 19, 0)",0.011551700008567423
2,5,5,20,20,3,10,0.2,MultiGoal-A*,1188,493,468.0,"(14, 19, 0)",0.007081199961248785
2,5,5,20,20,3,10,0.2,D* Lite,32076,563,536.0,"(14, 19, 0)",0.977526200003922
3,5,5,20,20,3,10,0.2,A*,668,106,100.0,"(6, 19, 2)",0.002031099982559681
3,5,5,20,20,3,10,0.2,MultiGoal-A*,1301,494,472.0,"(6, 19, 2)",0.008125399996060878
3,5,5,20,20,3,10,0.2,D* Lite,7128,106,100.0,"(6, 19, 2)",0.232637099979911
4,5,5,20,20,3,10,0.2,A*,2418,408,385.0,"(19, 13, 0)",0.0070242999936454
4,5,5,20,20,3,10,0.2,MultiGoal-A*,1261,279,261.0,"(19, 13, 0)",0.007503799977712333
4,5,5,20,20,3,10,0.2,D* Lite,27324,408,385.0,"(19, 13, 0)",0.948499999998603
5,5,5,20,20,3,10,0.2,A*,1359,243,230.0,"(19, 14, 0)",0.0037940999609418213
5,5,5,20,20,3,10,0.2,MultiGoal-A*,1258,254,240.0,"(19, 14, 0)",0.007540399965364486
5,5,5,20,20,3,10,0.2,D* Lite,15418,243,230.0,"(19, 14, 0)",0.5164893000037409
6,5,5,20,20,3,10,0.2,A*,599,175,162.0,"(19, 4, 0)",0.0019182999967597425
6,5,5,20,20,3,10,0.2,MultiGoal-A*,1280,194,180.0,"(19, 4, 0)",0.00752949999878183
6,5,5,20,20,3,10,0.2,D* Lite,15444,175,162.0,"(19, 4, 0)",0.5221669999882579
7,5,5,20,20,3,10,0.2,A*,2560,407,382.0,"(6, 19, 0)",0.007952700019814074
7,5,5,20,20,3,10,0.2,MultiGoal-A*,1281,490,462.0,"(6, 19, 0)",0.007668300007935613
7,5,5,20,20,3,10,0.2,D* Lite,29700,407,382.0,"(6, 19, 0)",1.022334499983117
8,5,5,20,20,3,10,0.2,A*,549,126,117.0,"(19, 14, 0)",0.0014818999916315079
8,5,5,20,20,3,10,0.2,MultiGoal-A*,1254,30,26.0,"(19, 14, 0)",0.007683299947530031
8,5,5,20,20,3,10,0.2,D* Lite,10656,126,117.0,"(19, 14, 0)",0.36035510001238436
9,5,5,20,20,3,10,0.2,A*,1828,421,395.0,"(19, 18, 1)",0.0053409000393003225
9,5,5,20,20,3,10,0.2,MultiGoal-A*,1198,364,340.0,"(19, 18, 1)",0.007370600011199713
9,5,5,20,20,3,10,0.2,D* Lite,30784,421,395.0,"(19, 18, 1)",1.0118882000097074
0,6,6,55,55,4,20,0.4,A*,2633,440,419.0,"(42, 0, 2)",0.00849099998595193
0,6,6,55,55,4,20,0.4,MultiGoal-A*,12818,440,419.0,"(42, 0, 2)",0.13659369997913018
0,6,6,55,55,4,20,0.4,D* Lite,253764,440,419.0,"(42, 0, 2)",32.07611230004113
1,6,6,55,55,4,20,0.4,A*,22762,1218,1199.0,"(0, 39, 3)",0.07119739998597652
1,6,6,55,55,4,20,0.4,MultiGoal-A*,12466,1933,1897.0,"(0, 39, 3)",0.13807310000993311
1,6,6,55,55,4,20,0.4,D* Lite,229558,1218,1199.0,"(0, 39, 3)",26.658089900040068
2,6,6,55,55,4,20,0.4,A*,72456,3533,3466.0,"(11, 0, 2)",0.25532579998252913
2,6,6,55,55,4,20,0.4,MultiGoal-A*,13380,3135,3073.0,"(11, 0, 2)",0.14223359996685758
2,6,6,55,55,4,20,0.4,D* Lite,809494,3533,3466.0,"(11, 0, 2)",116.6547705999692
3,6,6,55,55,4,20,0.4,A*,22826,1680,1635.0,"(19, 54, 0)",0.07729680003831163
3,6,6,55,55,4,20,0.4,MultiGoal-A*,13618,1554,1511.0,"(19, 54, 0)",0.14782649994594976
3,6,6,55,55,4,20,0.4,D* Lite,543780,1680,1635.0,"(19, 54, 0)",78.75958180002635
4,6,6,55,55,4,20,0.4,A*,61813,2805,2757.0,"(0, 17, 2)",0.19217599998228252
4,6,6,55,55,4,20,0.4,MultiGoal-A*,12392,1153,1125.0,"(0, 17, 2)",0.13821679999819025
4,6,6,55,55,4,20,0.4,D* Lite,580032,2805,2757.0,"(0, 17, 2)",70.7188227000297
5,6,6,55,55,4,20,0.4,A*,26128,2445,2386.0,"(22, 54, 3)",0.07866920001106337
5,6,6,55,55,4,20,0.4,MultiGoal-A*,12088,2445,2386.0,"(22, 54, 3)",0.13137499999720603
5,6,6,55,55,4,20,0.4,D* Lite,712838,2445,2386.0,"(22, 54, 3)",88.57828879996669
6,6,6,55,55,4,20,0.4,A*,342,62,57.0,"(40, 54, 0)",0.001027400023303926
6,6,6,55,55,4,20,0.4,MultiGoal-A*,13508,19,16.0,"(40, 54, 0)",0.14602789998752996
6,6,6,55,55,4,20,0.4,D* Lite,60420,62,57.0,"(40, 54, 0)",8.551299699989613
7,6,6,55,55,4,20,0.4,A*,15190,1747,1708.0,"(53, 54, 3)",0.045280300022568554
7,6,6,55,55,4,20,0.4,MultiGoal-A*,13531,1152,1123.0,"(53, 54, 3)",0.14835440000751987
